id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1291054,The Room Downstairs - Free parking,4615590,Marta,,Noord-West,52.42397,4.88864,Hotel room,69,3,317,2018-07-18,3.1,3,347
17643789,The Rooms Up & Downstairs - Free parking,4615590,Marta,,Noord-West,52.42395,4.88681,Hotel room,137,3,7,2019-04-21,0.14,3,340
